sourceOccurrenceId	sourceTaxonId	sourceTaxonName	sourceBodyPartId	sourceBodyPartName	sourceLifeStageId	sourceLifeStageName	interactionTypeId	interactionTypeName	targetOccurrenceId	targetTaxonId	targetTaxonName	targetBodyPartId	targetBodyPartName	targetLifeStageId	targetLifeStageName	localityId	localityName	decimalLatitude	decimalLongitude	YYYY	MM	DD	HH	mm	ss	observationDateTime	referenceDoi	referenceUrl	referenceCitation
	WORMS:158995	Carapus bermudensis 			http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage	http://purl.obolibrary.org/obo/RO_0002634	endoparasite of		WORMS:241768	Actinopyga agassizii	http://purl.obolibrary.org/obo/AEO_0000186	body cavity 	http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage	GEONAMES:3572807	Bimini	25.70444	-79.28889	1974	1	1	0	0	0	1974-1-1T00:00:00Z	https://doi.org/10.1007/BF00391522	https://link.springer.com/article/10.1007%2FBF00391522	"Van Meter VB, Ache BW (1974). Host location by the pearlfish Carapus bermudensis. Marine Biology, 26(4): 379–383. "
	WORMS:158995	Carapus bermudensis 			http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage	http://purl.obolibrary.org/obo/RO_0002634	endoparasite of		WORMS:241768	Actinopyga agassizii	http://purl.obolibrary.org/obo/AEO_0000186	body cavity 	http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage	GEONAMES:11257569	Congressional District 26	25.15121	-81.05506	1974	1	1	0	0	0	1974-1-1T00:00:00Z	https://doi.org/10.1007/BF00391522	https://link.springer.com/article/10.1007%2FBF00391522	"Van Meter VB, Ache BW (1974). Host location by the pearlfish Carapus bermudensis. Marine Biology, 26(4): 379–383. "
	WORMS:158995	Carapus bermudensis 			http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage	http://purl.obolibrary.org/obo/RO_0002634	endoparasite of		WORMS:241768	Actinopyga agassizii	http://purl.obolibrary.org/obo/AEO_0000186	body cavity 	http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage	GEONAMES:3572807	Bimini	25.70444	-79.28889	1990	1	1	0	0	0	1990-1-1T00:00:00Z		https://www.ingentaconnect.com/content/umrsmas/bullmar/1990/00000047/00000002/art00001	"Markle DF, Onley JE (1990). Systematics of the Pearlfishes (Pisces: Carapidae). Bulletin of Marine Science, 47(2): 269–410."
	WORMS:351056	Diogenidium nasutum			http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage	http://purl.obolibrary.org/obo/RO_0002466	is commensalism		WORMS:241768	Actinopyga agassizii			http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage	GEONAMES:3572924	Alice Town 	25.728	-79.29721	1971	1	1	0	0	0	1971-1-1T00:00:00Z	https://doi.org/10.1163/156854069X00204	https://brill.com/view/journals/cr/20/2/article-p171_8.xml?lang=en	"Humes AG, Ho JS (1971). The Genus Diogenidium (Copepoda , Cyclopoida) Parasitic in Holothurians in the West Indies. Crustaceana, 20(2): 171–191."
	WORMS:351056	Diogenidium nasutum			http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage	http://purl.obolibrary.org/obo/RO_0002466	is commensalism		WORMS:241768	Actinopyga agassizii			http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage	GEONAMES:3571691	Pigeon Cay 	25.72854	-79.28159	1971	1	1	0	0	0	1971-1-1T00:00:00Z	https://doi.org/10.1163/156854069X00204	https://brill.com/view/journals/cr/20/2/article-p171_8.xml?lang=en	"Humes AG, Ho JS (1971). The Genus Diogenidium (Copepoda , Cyclopoida) Parasitic in Holothurians in the West Indies. Crustaceana, 20(2): 171–191."
	WORMS:351058	Diogenidium tectum			http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage	http://purl.obolibrary.org/obo/RO_0002466	is commensalism		WORMS:241768	Actinopyga agassizii			http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage	GEONAMES:3490657	Drunkenmans Cay 	17.90284	-76.8454	1971	1	1	0	0	0	1971-1-1T00:00:00Z	https://doi.org/10.1163/156854069X00204	https://brill.com/view/journals/cr/20/2/article-p171_8.xml?lang=en	"Humes AG, Ho JS (1971). The Genus Diogenidium (Copepoda , Cyclopoida) Parasitic in Holothurians in the West Indies. Crustaceana, 20(2): 171–191."
	WORMS:351058	Diogenidium tectum			http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage	http://purl.obolibrary.org/obo/RO_0002466	is commensalism		WORMS:241768	Actinopyga agassizii			http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage	GEONAMES:3572924	Alice Town 	25.728	-79.29721	1971	1	1	0	0	0	1971-1-1T00:00:00Z	https://doi.org/10.1163/156854069X00204	https://brill.com/view/journals/cr/20/2/article-p171_8.xml?lang=en	"Humes AG, Ho JS (1971). The Genus Diogenidium (Copepoda , Cyclopoida) Parasitic in Holothurians in the West Indies. Crustaceana, 20(2): 171–191."
	WORMS:358131	Dactylopusia bahamensis			http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage	http://purl.obolibrary.org/obo/RO_0002634	endoparasite of		WORMS:241768	Actinopyga agassizii	http://purl.obolibrary.org/obo/AEO_0000186	body cavity 	http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage	GEONAMES:3572887	Commonwealth of The Bahamas	25.04082	-77.37122	1891	1	1	0	0	0	1891-1-1T00:00:00Z		https://www.biodiversitylibrary.org/page/6400545#page/85/mode/1up	"Edwards CLAM (1891). Beschreibung einiger neuen Copepoden und eines neuen copepodenähnlichen Krebses, Leuckartella, paradoxa. Archiv Für Naturgeschichte., 57(1): 75–104."
	WORMS:847446	"Esola longicauda longicauda 
"			http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage	http://purl.obolibrary.org/obo/RO_0002634	endoparasite of		WORMS:241768	Actinopyga agassizii	http://purl.obolibrary.org/obo/AEO_0000186	body cavity 	http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage	GEONAMES:3572887	Commonwealth of The Bahamas	25.04082	-77.37122	1891	1	1	0	0	0	1891-1-1T00:00:00Z		https://www.biodiversitylibrary.org/page/6400545#page/85/mode/1up	"Edwards CLAM (1891). Beschreibung einiger neuen Copepoden und eines neuen copepodenähnlichen Krebses, Leuckartella, paradoxa. Archiv Für Naturgeschichte., 57(1): 75–104."
	WORMS:361261	Rhapidophorus wilsoni			http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage	http://purl.obolibrary.org/obo/RO_0002634	endoparasite of		WORMS:241768	Actinopyga agassizii	http://purl.obolibrary.org/obo/AEO_0000186	body cavity 	http://purl.obolibrary.org/obo/UBERON_0000066	fully formed stage	GEONAMES:3572887	Commonwealth of The Bahamas	25.04082	-77.37122	1891	1	1	0	0	0	1891-1-1T00:00:00Z		https://www.biodiversitylibrary.org/page/6400545#page/85/mode/1up	"Edwards CLAM (1891). Beschreibung einiger neuen Copepoden und eines neuen copepodenähnlichen Krebses, Leuckartella, paradoxa. Archiv Für Naturgeschichte., 57(1): 75–104."
