sourceTaxonId,sourceTaxonName,sourceLifeStageId,sourceLifeStageName,interactionTypeId,interactionTypeName,targetTaxonId,targetTaxonName,targetBodyPartId,targetBodyPartName,targetLifeStageId,targetLifeStageName,localityId,sourcelocalityName,localityName,CountryCode,localityCountry,localityProvinceId,localityProvinceName,localityEcoregionId,localityEcoregionName,decimalLatitude,decimalLongitude,localityGeometricShape,referenceCitation,referenceDoi,referenceURL,,,,,,,,,,,,,,,
WORMS:158995,Carapus bermudensis ,UBERON:0007023,adult organism,RO:0002634,endoparasite of,WORMS:241768,Actinopyga agassizii,AEO:0000186,body cavity ,UBERON:0007020,adult organism,GeoNames:3572807,GeoNames,Bimini,ISO_2:BS,Bahamas,SPALDING_P:12,Tropical Northwestern Atlantic,SPALDING_R:63,Bahamian,25.70444,-79.28889,Poligon,"Van Meter, V. B., & Ache, B. W. (1974). Host location by the pearlfish Carapus bermudensis. Marine Biology, 26(4), 379–383. ",doi:10.1007/BF00391522,https://link.springer.com/article/10.1007%2FBF00391522,,,,,,,,,,,,,,,
WORMS:158995,Carapus bermudensis ,UBERON:0007023,adult organism,RO:0002634,endoparasite of,WORMS:241768,Actinopyga agassizii,AEO:0000186,body cavity ,UBERON:0007021,adult organism,GeoNames:11257569,GeoNames,Congressional District 26,ISO_2:US,United States,SPALDING_P:12,Tropical Northwestern Atlantic,SPALDING_R:70,Floridian,25.15121,-81.05506,Poligon,"Van Meter, V. B., & Ache, B. W. (1974). Host location by the pearlfish Carapus bermudensis. Marine Biology, 26(4), 379–383. ",doi:10.1007/BF00391522,https://link.springer.com/article/10.1007%2FBF00391522,,,,,,,,,,,,,,,
WORMS:158995,Carapus bermudensis ,UBERON:0007023,adult organism,RO:0002634,endoparasite of,WORMS:241768,Actinopyga agassizii,AEO:0000186,body cavity ,UBERON:0007022,adult organism,GeoNames:3572807,GeoNames,Bimini,ISO_2:BS,Bahamas,SPALDING_P:12,Tropical Northwestern Atlantic,SPALDING_R:63,Bahamian,25.70444,-79.28889,Poligon,"Markle, D. F., & Onley, J. E. (1990). Systematics of the Pearlfishes (Pisces: Carapidae). Bulletin of Marine Science, 47(2), 269–410.",,https://www.ingentaconnect.com/content/umrsmas/bullmar/1990/00000047/00000002/art00001,,,,,,,,,,,,,,,
WORMS:351056,Diogenidium nasutum,UBERON:0007023,adult organism,RO_0002441,commensually interacts with ,WORMS:241768,Actinopyga agassizii,,,UBERON:0007023,adult organism,Geonames:3572924,Geonames,Alice Town ,ISO_2:BS,Bahamas,SPALDING_P:12,Tropical Northwestern Atlantic,SPALDING_R:63,Bahamian,25.728,-79.29721,Point,"Humes, Arthur G, & Ho, J.-S. (1971). The Genus Diogenidium (Copepoda , Cyclopoida) Parasitic in Holothurians in the West Indies. Crustaceana, 20(2), 171–191.",doi:10.1163/156854069X00204,https://brill.com/view/journals/cr/20/2/article-p171_8.xml?lang=en,,,,,,,,,,,,,,,
WORMS:351056,Diogenidium nasutum,UBERON:0007023,adult organism,RO_0002441,commensually interacts with ,WORMS:241768,Actinopyga agassizii,,,UBERON:0007023,adult organism,GeoNames:3571691,GeoNames,Pigeon Cay ,ISO_2:BS,Bahamas,SPALDING_P:12,Tropical Northwestern Atlantic,SPALDING_R:63,Bahamian,25.72854,-79.28159,Point,"Humes, Arthur G, & Ho, J.-S. (1971). The Genus Diogenidium (Copepoda , Cyclopoida) Parasitic in Holothurians in the West Indies. Crustaceana, 20(2), 171–191.",doi:10.1163/156854069X00204,https://brill.com/view/journals/cr/20/2/article-p171_8.xml?lang=en,,,,,,,,,,,,,,,
WORMS:351058,Diogenidium tectum,UBERON:0007023,adult organism,RO_0002441,commensually interacts with ,WORMS:241768,Actinopyga agassizii,,,UBERON:0007023,adult organism,Geonames:3490657,Geonames,Drunkenmans Cay ,ISO_2:JM,Jamaica,SPALDING_P:12,Tropical Northwestern Atlantic,SPALDING_R:65,Greater Antilles,17.90284,-76.8454,Point,"Humes, Arthur G, & Ho, J.-S. (1971). The Genus Diogenidium (Copepoda , Cyclopoida) Parasitic in Holothurians in the West Indies. Crustaceana, 20(2), 171–191.",doi:10.1163/156854069X00204,https://brill.com/view/journals/cr/20/2/article-p171_8.xml?lang=en,,,,,,,,,,,,,,,
WORMS:351058,Diogenidium tectum,UBERON:0007023,adult organism,RO_0002441,commensually interacts with ,WORMS:241768,Actinopyga agassizii,,,UBERON:0007023,adult organism,Geonames:3572924,Geonames,Alice Town ,ISO_2:BS,Bahamas,SPALDING_P:12,Tropical Northwestern Atlantic,SPALDING_R:63,Bahamian,25.728,-79.29721,Point,"Humes, Arthur G, & Ho, J.-S. (1971). The Genus Diogenidium (Copepoda , Cyclopoida) Parasitic in Holothurians in the West Indies. Crustaceana, 20(2), 171–191.",doi:10.1163/156854069X00204,https://brill.com/view/journals/cr/20/2/article-p171_8.xml?lang=en,,,,,,,,,,,,,,,
WORMS:358131,Dactylopusia bahamensis,UBERON:0007023,adult organism,RO:0002634,endoparasite of,WORMS:241768,Actinopyga agassizii,AEO:0000186,body cavity ,UBERON:0007024,adult organism,GeoNames:3572887,GeoNames,Commonwealth of The Bahamas,ISO_2:BS,Bahamas,SPALDING_P:12,Tropical Northwestern Atlantic,SPALDING_R:63,Bahamian,25.04082,-77.37122,Poligon,"Edwards, C. L. A. M. (1891). Beschreibung einiger neuen Copepoden und eines neuen copepodenähnlichen Krebses, Leuckartella, paradoxa. Archiv Für Naturgeschichte., 57(1), 75–104.",,https://www.biodiversitylibrary.org/page/6400545#page/85/mode/1up,,,,,,,,,,,,,,,
WORMS:847446,"Esola longicauda longicauda 
",UBERON:0007023,adult organism,RO:0002634,endoparasite of,WORMS:241768,Actinopyga agassizii,AEO:0000186,body cavity ,UBERON:0007025,adult organism,GeoNames:3572887,GeoNames,Commonwealth of The Bahamas,ISO_2:BS,Bahamas,SPALDING_P:12,Tropical Northwestern Atlantic,SPALDING_R:63,Bahamian,25.04082,-77.37122,Poligon,"Edwards, C. L. A. M. (1891). Beschreibung einiger neuen Copepoden und eines neuen copepodenähnlichen Krebses, Leuckartella, paradoxa. Archiv Für Naturgeschichte., 57(1), 75–104.",,https://www.biodiversitylibrary.org/page/6400545#page/85/mode/1up,,,,,,,,,,,,,,,
WORMS:361261,Rhapidophorus wilsoni,UBERON:0007023,adult organism,RO:0002634,endoparasite of,WORMS:241768,Actinopyga agassizii,AEO:0000186,body cavity ,UBERON:0007026,adult organism,GeoNames:3572887,GeoNames,Commonwealth of The Bahamas,ISO_2:BS,Bahamas,SPALDING_P:12,Tropical Northwestern Atlantic,SPALDING_R:63,Bahamian,25.04082,-77.37122,Poligon,"Edwards, C. L. A. M. (1891). Beschreibung einiger neuen Copepoden und eines neuen copepodenähnlichen Krebses, Leuckartella, paradoxa. Archiv Für Naturgeschichte., 57(1), 75–104.",,https://www.biodiversitylibrary.org/page/6400545#page/85/mode/1up,,,,,,,,,,,,,,,
